k_over_T,E_over_T,Gamma_LPM_occ_over_T,Gamma_hard_occ_over_T,Gamma_total_occ_over_T,ImPiR_onshell_over_T2
0.3550813162221598,0.5640104087071988,0.0010438068745441086,0.0016016777275304778,0.0026454846020745864,-0.0014920808516446886
0.3760850876332612,0.5774642786702202,0.0010365960971740456,0.00163082585202804,0.0026674219492020855,-0.0015403408918050951
0.39833127421332554,0.5921932151050123,0.001029010099440887,0.0016591570496126721,0.0026881671490535594,-0.0015919143467377022
0.4218933673093047,0.6082918817307887,0.0010210085759265722,0.0016857705862422213,0.0027067791621687935,-0.0016465117899853432
0.4468492054285942,0.6258587799113837,0.0010126323437436022,0.0017111183835963031,0.0027237507273399054,-0.0017046833069956971
0.4732812313822838,0.6449962201274755,0.001003914608900126,0.0017354164665542124,0.0027393310754543383,-0.0017668581893457806
0.5012767646389494,0.6658103294233971,0.0009947926830054855,0.0017587660965563295,0.002753558779561815,-0.0018333478781067394
0.5309282897887139,0.6884111045719472,0.0009852946755556631,0.0017819617458375817,0.002767256421393245,-0.0019050100496851377
0.5623337620705394,0.7129125191525296,0.000975475693858505,0.0018040365529657532,0.002779512246824258,-0.0019815490778987894
0.5955969309720662,0.7394326907726925,0.0009652939113007049,0.0018232000686615644,0.0027884939799622693,-0.0020619036068069553
0.6308276829710361,0.7680941124644857,0.0009547440774299951,0.001840196744499078,0.002794940821929073,-0.0021467775900103716
0.6681424045505532,0.7990239500531852,0.0009438783211768305,0.0018555631673214923,0.0027994414884983227,-0.002236820796082698
0.7076643666874264,0.8323544052139786,0.0009327071737535599,0.00186899777731433,0.0028017049510678897,-0.0023320114581311725
0.7495241320837701,0.868223142156398,0.0009211825331098749,0.001881249767947206,0.002802432301057081,-0.0024331365781043632
0.793859986487165,0.9067737745134681,0.0009093461478591147,0.0018922748982560461,0.002801621046115161,-0.0025404364907422156
0.8408183955242771,0.9481564081163084,0.0008972389385382436,0.0019012306289857143,0.002798469567523958,-0.002653386853366315
0.8905544885570954,0.9925282349077983,0.000884806478928396,0.0019095141503681706,0.0027943206292965666,-0.002773442121962169
0.9432325711602375,1.0400541732513515,0.0008720667804519568,0.001916719560570845,0.0027887863410228017,-0.0029004888722871315
0.9990266679123173,1.0909075502534518,0.0008590644719727023,0.0019197666115210784,0.0027788310834937807,-0.0030314478098623456
1.0581210972945043,1.1452708223558854,0.0008457710036958996,0.0019196704155250298,0.0027654414192209292,-0.0031671793683681806
1.1207110805954914,1.2033363312763037,0.0008321716140351142,0.0019193905541699855,0.0027515621682051,-0.0033110547247665965
1.187003386834405,1.2653070933004162,0.0008183049236474672,0.001918922120518921,0.002737227044166388,-0.0034634327949574625
1.2572170158322036,1.3313976208849223,0.000804179726145267,0.0019157565007634901,0.002719936226908757,-0.003621316621465031
1.3315839216881156,1.4018347764620127,0.000789746763273103,0.001908214378337458,0.002697961141610561,-0.0037820957538528374
