N,f_over_Mpl,f_GeV,epsilon,d_g,eta_peak,M_GeV,TR_GeV,m_eV,Omega_h2,slope
6,9.486832980505142e-07,2310043830753.002,2.5614449047363886e-11,1e-06,6.452848925009788,10559.289657369136,1055928.9657369135,7.5e-29,2.073143494701604e-14,0.49999999999999994
8,1.340050776452891e-06,3263023640662.7896,4.727323932031386e-11,1e-06,5.968728728985251,1450279292.3349774,145027929233.49774,7.5e-29,2.3267616122818147e-14,0.3826834323650898
6,1.0644401677007263e-06,2591911808351.2686,2.8739884527919614e-11,1e-06,5.751107658050308,9410.976813156203,941097.6813156203,7.5e-29,2.609933027775614e-14,0.49999999999999994
8,1.5035617008818181e-06,3661172741647.227,5.304144691202533e-11,1e-06,5.319635079173946,1220257950.5992825,122025795059.92825,7.5e-29,2.929219320888742e-14,0.3826834323650898
6,1.1943215116604936e-06,2908172880893.302,3.224668081483333e-11,1e-06,5.125680095545495,8387.54191348038,838754.1913480379,7.5e-29,3.2857110117476227e-14,0.49999999999999994
8,1.687023975571048e-06,4107903380515.502,5.951348227817028e-11,1e-06,4.741129754842962,1026719111.1881596,102671911118.81596,7.5e-29,3.687668639785287e-14,0.3826834323650898
6,1.340050776452891e-06,3263023640662.7896,3.6181370964228065e-11,1e-06,4.568267193728392,7475.404599025501,747540.4599025501,7.5e-29,4.136465088501002e-14,0.49999999999999994
8,1.8928720334405836e-06,4609143401427.821,6.677522539588002e-11,1e-06,4.225536341817597,863876471.9879881,86387647198.79881,7.5e-29,4.6424997609021434e-14,0.3826834323650898
6,1.5035617008818181e-06,3661172741647.227,4.0596165923809096e-11,1e-06,4.071472422056044,6662.461361810797,666246.1361810797,7.5e-29,5.2075010149133176e-14,0.49999999999999994
8,2.123837353152417e-06,5171543954926.136,7.492303518435049e-11,1e-06,3.7660132287631716,726861466.5122852,72686146651.22852,7.5e-29,5.844560923248048e-14,0.3826834323650898
